IDtimetable,coursecode,IDprogramme,coursegrps,numbstudents,stdlevel,IDroom,roomname,examPERIOD,examDATE
3997,ENG105B,,46,145,100,32,"LARGE LECTURE THEATER ",08:30AM - 10:30AM,08-May-2013
3998,ENG105B,,14,140,100,35,ASSEMBLY HALL,08:30AM - 10:30AM,08-May-2013
3999,ENG105B,,34,140,100,47,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,08-May-2013
4000,ENG105B,,35,140,100,48,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,08-May-2013
4001,ENG105B,,10,130,100,33,ASSEMBLY HALL,08:30AM - 10:30AM,08-May-2013
4002,ENG105B,,11,120,100,44,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,08-May-2013
4003,ENG105B,,12,120,100,77,CENTER FOR CONTINUING EDUCATION,08:30AM - 10:30AM,08-May-2013
4004,ENG105B,,13,120,100,78,CENTER FOR CONTINUING EDUCATION,08:30AM - 10:30AM,08-May-2013
4005,ENG105B,,45,120,100,79,CENTER FOR CONTINUING EDUCATION,08:30AM - 10:30AM,08-May-2013
4006,ENG105B,,18,115,100,80,CENTER FOR CONTINUING EDUCATION,08:30AM - 10:30AM,08-May-2013
4007,ENG105B,,3,115,100,81,CENTER FOR CONTINUING EDUCATION,08:30AM - 10:30AM,08-May-2013
4008,ENG105B,,9,112,100,82,CENTER FOR CONTINUING EDUCATION,08:30AM - 10:30AM,08-May-2013
4009,ENG105B,,1,111,100,83,CENTER FOR CONTINUING EDUCATION,08:30AM - 10:30AM,08-May-2013
4010,ENG105B,,17,111,100,84,CENTER FOR CONTINUING EDUCATION,08:30AM - 10:30AM,08-May-2013
4011,ENG105B,,2,109,100,85,CENTER FOR CONTINUING EDUCATION,08:30AM - 10:30AM,08-May-2013
4012,ENG105B,,4,104,100,86,CENTER FOR CONTINUING EDUCATION,08:30AM - 10:30AM,08-May-2013
4013,ENG105B,,43,100,100,87,CENTER FOR CONTINUING EDUCATION,08:30AM - 10:30AM,08-May-2013
4014,ENG105B,,44,100,100,49,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,08-May-2013
4015,ENG105B,,42,90,100,50,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,08-May-2013
4016,ENG105B,,39,90,100,29,LECTURE THEATER,08:30AM - 10:30AM,08-May-2013
4017,ENG105B,,19,90,100,46,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,08-May-2013
4018,ENG105B,,20,90,100,36,CAFETERIA ROOF TOP,08:30AM - 10:30AM,08-May-2013
4019,ENG105B,,24,85,100,41,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,08-May-2013
4020,ENG105B,,27,85,100,42,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,08-May-2013
4021,ENG105B,,41,85,100,34,"ASSEMBLY HALL ",08:30AM - 10:30AM,08-May-2013
4022,ENG105B,,32,82,100,32,"LARGE LECTURE THEATER ",08:30AM - 10:30AM,08-May-2013
4023,ENG105B,,5,70,100,32,"LARGE LECTURE THEATER ",08:30AM - 10:30AM,08-May-2013
4024,ENG105B,,38,82,100,32,"LARGE LECTURE THEATER ",08:30AM - 10:30AM,08-May-2013
4025,ENG105B,,16,80,100,32,"LARGE LECTURE THEATER ",08:30AM - 10:30AM,08-May-2013
4026,ENG105B,,37,80,100,35,ASSEMBLY HALL,08:30AM - 10:30AM,08-May-2013
4027,ENG105B,,6,71,100,32,"LARGE LECTURE THEATER ",08:30AM - 10:30AM,08-May-2013
4028,ENG105B,,7,65,100,47,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,08-May-2013
4029,ENG105B,,29,80,100,48,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,08-May-2013
4030,ENG105B,,33,70,100,40,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,08-May-2013
4031,ENG105B,,33,12,100,50,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,08-May-2013
4032,ENG105B,,26,66,100,18,LECTURE THEATER,08:30AM - 10:30AM,08-May-2013
4033,ENG105B,,26,15,100,19,LECTURE THEATER,08:30AM - 10:30AM,08-May-2013
4034,ENG105B,,36,60,100,31,LECTURE THEATER,08:30AM - 10:30AM,08-May-2013
4035,ENG105B,,36,21,100,22,LECTURE THEATER,08:30AM - 10:30AM,08-May-2013
4036,ENG105B,,28,60,100,43,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,08-May-2013
4037,ENG105B,,28,21,100,51,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,08-May-2013
4038,ENG105B,,30,60,100,45,FACULTY OF EDUCATION LECTURE THEATRE,08:30AM - 10:30AM,08-May-2013
